experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0072,2026-01-28T10:10:39.538834,1021,50,3,30.0,0.05,True,0,True,0,0.3,1.5,28.5,29.7,1,0.02,0.99,0.03508771929824561,greedy_nearest,1.0
mas_full_study_0073,2026-01-28T10:10:39.539867,1022,50,3,30.0,0.05,True,28,True,2,22.167667047194513,1.5,28.5,7.832332952805487,30,0.6,0.2610777650935162,1.0526315789473684,greedy_nearest,1.0
mas_full_study_0074,2026-01-28T10:10:39.540897,1023,50,3,30.0,0.05,True,13,False,,23.12064574406398,1.5,28.5,6.879354255936018,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0075,2026-01-28T10:10:39.541884,1024,50,3,30.0,0.05,True,35,True,0,29.86298081013352,1.5,28.5,0.13701918986647854,37,0.74,0.004567306328882618,1.2982456140350878,greedy_nearest,1.0
mas_full_study_0076,2026-01-28T10:10:39.543054,1025,50,3,30.0,0.05,True,47,True,2,10.183510965038602,1.5,28.5,19.8164890349614,9,0.18,0.6605496344987133,0.3157894736842105,greedy_nearest,1.0
mas_full_study_0077,2026-01-28T10:10:39.543054,1026,50,3,30.0,0.05,True,28,True,1,16.99077649723568,1.5,28.5,13.009223502764321,29,0.58,0.43364078342547735,1.0175438596491229,greedy_nearest,1.0
mas_full_study_0078,2026-01-28T10:10:39.544610,1027,50,3,30.0,0.05,True,39,False,,24.212081672141366,1.5,28.5,5.787918327858634,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0079,2026-01-28T10:10:39.546273,1028,50,3,30.0,0.05,True,38,False,,30.038488517629972,1.5,28.5,0.0,42,0.84,0.0,1.4736842105263157,greedy_nearest,1.0
mas_full_study_0080,2026-01-28T10:10:39.546273,1029,50,3,30.0,0.05,True,13,True,0,17.217976388366843,1.5,28.5,12.782023611633157,25,0.5,0.4260674537211052,0.8771929824561403,greedy_nearest,1.0
mas_full_study_0081,2026-01-28T10:10:39.547286,1030,50,3,30.0,0.05,True,9,True,0,19.30539701820273,1.5,28.5,10.69460298179727,19,0.38,0.35648676605990903,0.6666666666666666,greedy_nearest,1.0
mas_full_study_0082,2026-01-28T10:10:39.548286,1031,50,3,30.0,0.05,True,21,True,1,11.398023150423711,1.5,28.5,18.60197684957629,17,0.34,0.6200658949858763,0.5964912280701754,greedy_nearest,1.0
mas_full_study_0083,2026-01-28T10:10:39.549317,1032,50,3,30.0,0.05,True,6,True,0,11.508625858300926,1.5,28.5,18.491374141699076,19,0.38,0.6163791380566359,0.6666666666666666,greedy_nearest,1.0
mas_full_study_0084,2026-01-28T10:10:39.550336,1033,50,3,30.0,0.05,True,33,True,1,25.230749874971735,1.5,28.5,4.769250125028265,35,0.7,0.15897500416760882,1.2280701754385965,greedy_nearest,1.0
mas_full_study_0085,2026-01-28T10:10:39.550336,1034,50,3,30.0,0.05,True,11,True,0,17.31485942250524,1.5,28.5,12.68514057749476,22,0.44,0.42283801924982534,0.7719298245614035,greedy_nearest,1.0
